URL,Titre,Entreprise,Ville,Département,Contrat,Salaire,Secteur,Télétravail,Niveau,Expérience,Compétences,Nb_Competences
https://www.hellowork.com/fr-fr/emplois/64128525.html,Alternance Apprenti Informatique Industrielle H/F,Tereos,Marckolsheim,67,Alternance,13729.74,,False,5,0,"c, excel, informatique industrielle, réseau, réseaux, word",7
https://www.hellowork.com/fr-fr/emplois/63570506.html,Ingénieur de Production Informatique H/F,Open,Tours,37,CDI,41160.07,Secteur informatique • ESN,True,5,1,"analyse technique, automatisation, cloud, devops, documentation technique, linux, oracle, réseau, sql",11
https://www.hellowork.com/fr-fr/emplois/63848778.html,Ingénieur Secops - Cybersécurité H/F,Lutessa,La Défense,92,CDI,52500.0,Secteur informatique • ESN,True,5,1,"analyse technique, cybersécurité",3
https://www.hellowork.com/fr-fr/emplois/57646948.html,Ingénieur Dev - DevOps H/F,Meritis,Biot,6,CDI,36000.0,Secteur informatique • ESN,False,5,1,"agile, ansible, automatisation, docker, gestion des incidents, intégration continue, jenkins, kubernetes, recette",12
https://www.hellowork.com/fr-fr/emplois/63598778.html,Expert Informatique Industrielle H/F,Coris Innovation,Grenoble,38,CDI,47500.0,Services aux Entreprises,False,5,4,"api, automatisation, erp, ia, ihm, informatique industrielle, machine learning, mes, modbus, opc, opc ua, réseaux, réseaux industriels, scada, schneider, siemens, sql, wincc, wonderware",23
https://www.hellowork.com/fr-fr/emplois/64195194.html,Technicien Cybersécurité H/F,Groupe Piment,Montluçon,3,CDI,41160.07,,False,2,1,cybersécurité,1
https://www.hellowork.com/fr-fr/emplois/64033303.html,Ingénieur Sécurité des Réseaux H/F,ITS Group,Paris,75,CDI,62500.0,Secteur informatique • ESN,True,5,1,"cybersécurité, fortinet, gestion des identités, réseau, réseaux, vpn",8
https://www.hellowork.com/fr-fr/emplois/63993589.html,Ingénieur Conformité & Sécurité Informatique H/F,Klee Group,Le Plessis-Robinson,92,CDI,41160.07,Secteur informatique • ESN,False,5,1,"cloud, cybersécurité, devops, reporting",4
https://www.hellowork.com/fr-fr/emplois/62630564.html,Stage - Informatique Industrielle H/F,Safran,Magny-les-Hameaux,78,Stage,12600.0,,False,,0,"dns, informatique industrielle, réseaux",4
https://www.hellowork.com/fr-fr/emplois/47339859.html,Consultant Cybersécurité - Paris France H/F,Astek,Paris,75,CDI,60000.0,Secteur informatique • ESN,False,5,1,"automatisation, c, cybersécurité, fortinet, réseau, scrum",6
https://www.hellowork.com/fr-fr/emplois/62462126.html,Ingénieur Informatique Scientifique et Industrielle H/F,Framatome,Chalon-sur-Saône,71,CDI,47500.0,Secteur Energie • Environnement,False,5,1,".net, c, c#, c++, réseau, supervision, systèmes embarqués, uml, visual studio, wpf",12
https://www.hellowork.com/fr-fr/emplois/33257044.html,Ingénieur Informaticien - Assurances H/F,EURO-INFORMATION DEVELOPPEMENTS,Nancy,54,CDI,47000.0,,True,5,1,".net, c, c#, cobol, mainframe",5
https://www.hellowork.com/fr-fr/emplois/56708334.html,Informaticien Support Retail H/F,Aéro Intérim,Toulouse,31,Intérim,46500.0,Services aux Entreprises,False,2,1,"base de données, réseaux, sql, vmware, windows, windows server",9
https://www.hellowork.com/fr-fr/emplois/64124930.html,Ingénieur Cybersécurité H/F,Expleo,Lille,59,CDI,42000.0,Secteur informatique • ESN,True,5,1,"cybersécurité, fortinet, mdm, réseau, réseaux, validation, vpn",7
https://www.hellowork.com/fr-fr/emplois/63808622.html,Ingénieur Cybersécurité H/F,The Porters,Lyon,69,Indépendant,55000.0,Secteur informatique • ESN,False,5,7,"aws, cloud, cybersécurité, framework, linux, supervision, sécurité informatique",8
https://www.hellowork.com/fr-fr/emplois/57894860.html,Ingénieur de Production Informatique H/F,Objectware,Bordeaux,33,CDI,50000.0,Secteur informatique • ESN,True,5,7,".net, ansible, api, automatisation, ci, cloud, devops, docker, gestion des incidents, gitlab, industrialisation, kubernetes, linux, monitoring, postgresql, python, rest, réseau, sql, supervision, validation",23
https://www.hellowork.com/fr-fr/emplois/63905484.html,Ingenieur Informatique Industrielle H/F,Eiffage Energie Systèmes,Kourou,973,CDI,41160.07,Secteur Energie • Environnement,False,5,1,"informatique industrielle, linux, réseaux, systèmes embarqués, windows",7
